Kd_id,Kd_Cond,Kd_Age,Brand,Manufacture,Dosage in code,Ingredients,Caution,Side Effect,Contra Indication
1,"1, 2, 3",1,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
2,"1, 2, 3",2,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
3,"1, 2, 3",3,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
4,"1, 2, 3",4,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
5,"1, 2, 3",5,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
6,"1, 2, 3",6,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
7,"1, 2, 3",7,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
8,"1, 2, 3",8,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
9,"1, 2, 3",9,zenmyo syrup,Asgen,1,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
10,"1, 2, 3",10,zenmyo syrup,Asgen,2,"Maouekisu 510mg Licorice extract 250mg Cinnamic flow extract 1mL Ginger root extract flow 1mL Herba Asari flow extract 1mL Gomishi flow extract 1mL Hange extract 80mg Noscapine hydrochloride hydrate 38mg Potassium guaiacol sulfonic acid 240mg Chlorpheniramine maleate 8.2mg Anhydrous caffeine 72mg Additives: benzoic acid Na, parabens, polyoxyethylene hydrogenated castor oil, polyoxye","Not to be taken less than three months, If this is unavoidable, it can be taken up to one day six times the dose every four hours. In use, to take from Shake well",Unknown,"The infants of less than 2 years of age, giving priority to be subjected to medical aid, to be taken only if unavoidable"
